orderid,OrderDate,UserId,TotalCharges,CommonId,PupId,PickupDate
2093,2009-12-18,253,78.28,E84RF,5,2009-12-18
2146,2009-12-28,253,198.74,ZPKKR,18,2009-12-28
2148,2009-12-28,253,5.12,YH4N5,18,2009-12-28
2233,2010-01-05,253,65.16,XRSCD,3,2010-01-05
2250,2010-01-07,253,31.15,WGQQY,6,2010-01-07
2324,2010-01-12,253,210.89,NSU2Q,3,2010-01-12
2408,2010-01-19,253,105.74,DTSTE,3,2010-01-19
2500,2010-01-26,253,166.46,B52SU,3,2010-01-26
2573,2010-01-30,253,42.4,3QJXT,18,2010-02-01
2598,2010-02-01,253,136.11,B228X,18,2010-02-01
2744,2010-02-09,253,203.43,6875M,3,2010-02-09
2853,2010-02-15,253,129.07,FN8AT,18,2010-02-15
2971,2010-02-22,253,166.37,PCPFA,18,2010-02-22
3089,2010-03-01,253,165.14,Y2R9C,18,2010-03-01
3225,2010-03-08,253,294.27,FCSCN,18,2010-03-08
270,2009-01-14,277,127.47,EZATD,2,2009-01-14
286,2009-01-28,277,146.09,QLDNM,2,2009-01-28
315,2009-02-15,277,89.3,SAMKG,2,2009-02-16
335,2009-02-25,277,169.72,7ZQQK,2,2009-02-25
362,2009-03-11,277,104.45,ZAAAS,4,2009-03-12
383,2009-03-19,277,187.81,VMNHJ,4,2009-03-19
404,2009-04-02,277,117.76,RC8HW,4,2009-04-02
417,2009-04-09,277,64.8,249WL,4,2009-04-09
437,2009-04-15,277,47.03,MGVDQ,4,2009-04-16
458,2009-04-20,277,94.87,X8R62,4,2009-04-21
565,2009-05-12,277,181.3,CLA2G,4,2009-05-12
614,2009-05-21,277,118.76,R37EN,4,2009-05-21
695,2009-06-09,277,177.12,PZVFL,4,2009-06-09
758,2009-06-18,277,120.61,YXKDK,4,2009-06-18
820,2009-07-02,277,137.01,FFBGH,4,2009-07-02
885,2009-07-13,277,179.49,TFDVF,4,2009-07-14
967,2009-07-29,277,100.05,8BFPY,4,2009-07-30
1061,2009-08-17,277,269.13,25PEQ,4,2009-08-18
1169,2009-09-02,277,234.59,9JJLS,4,2009-09-03
1289,2009-09-22,277,136.58,6JP8C,4,2009-09-22
1331,2009-09-29,277,105.68,GNUB5,4,2009-09-29
1467,2009-10-20,277,153.09,HDAW4,4,2009-10-21
1593,2009-11-03,277,212.57,7VUM4,4,2009-11-03
1693,2009-11-11,277,199.81,CQ494,11,2009-11-11
2071,2009-12-16,277,336.72,TZBTU,4,2009-12-17
2121,2009-12-22,277,100.14,5VC6G,4,2009-12-22
2325,2010-01-12,277,263.48,WMZCH,11,2010-01-13
2470,2010-01-25,277,286.32,E8GYU,4,2010-01-25
2620,2010-02-02,277,214.04,FM776,4,2010-02-02
2975,2010-02-22,277,210.3,M28FM,4,2010-03-01
3226,2010-03-08,277,200.38,4J2YE,4,2010-03-09
304,2009-02-09,407,20.55,UP3XG,3,2009-02-12
268,2009-01-13,457,50.21,RJ4JJ,2,2009-01-14
349,2009-03-05,457,39.44,CQYRU,4,2009-03-05
927,2009-07-21,457,50.67,DU3LF,3,2009-07-21
2041,2009-12-14,457,92.25,5XDTF,18,2009-12-14
2296,2010-01-11,457,56.07,EBYL4,18,2010-01-11
2386,2010-01-18,457,28.81,K8RMX,18,2010-01-18
2479,2010-01-25,457,53.89,LRSNB,18,2010-01-25
2963,2010-02-22,457,37.13,HS96B,18,2010-02-22
3131,2010-03-03,457,60.24,6MN4M,11,2010-03-03
3208,2010-03-08,457,42.56,XKBEP,18,2010-03-08
329,2009-02-19,464,12.6,RR7TA,3,2009-02-19
263,2009-01-12,550,87.63,6GC3F,2,2009-01-12
303,2009-02-09,550,89.33,A8UEG,2,2009-02-09
334,2009-02-23,550,177.63,RB7XZ,2,2009-02-23
661,2009-05-31,550,101.09,U8SZM,4,2009-06-02
769,2009-06-22,550,94.34,CJ9Z6,4,2009-06-23
2246,2010-01-06,550,113.77,FA48Z,6,2010-01-07
281,2009-01-24,616,101.22,VRL6K,3,2009-01-27
372,2009-03-17,616,93.29,N45NC,4,2009-03-17
457,2009-04-20,616,191.62,6YBX6,4,2009-04-21
594,2009-05-19,807,89.56,6P9J6,3,2009-05-19
710,2009-06-11,807,32.7,E8AYE,6,2009-06-11
890,2009-07-14,807,41.79,Y9LM2,3,2009-07-14
2106,2009-12-21,825,52.39,ACEYT,4,2009-12-22
267,2009-01-13,891,131.98,GL97J,3,2009-01-13
282,2009-01-27,891,105.73,BYLT6,3,2009-01-27
305,2009-02-10,891,136.07,8FE37,3,2009-02-10
336,2009-02-25,891,117.51,MQTTC,2,2009-02-25
359,2009-03-10,891,134,MD6NG,4,2009-03-10
401,2009-04-01,891,155.35,5ZRKG,4,2009-04-02
432,2009-04-14,891,67.66,KSZ83,4,2009-04-14
492,2009-04-27,891,145.37,BPA97,4,2009-04-28
592,2009-05-18,891,117.51,KLNRT,4,2009-05-19
650,2009-05-28,891,127.47,J7GNQ,4,2009-05-28
703,2009-06-10,891,66.28,QS5SA,4,2009-06-11
729,2009-06-15,891,66.08,ASV3U,4,2009-06-16
770,2009-06-22,891,54.13,R2VGF,4,2009-06-23
889,2009-07-14,891,47.88,SRWVH,4,2009-07-14
924,2009-07-20,891,44.42,42PKC,4,2009-07-21
1204,2009-09-08,891,114.02,VCRBQ,4,2009-09-08
1476,2009-10-21,891,56.03,QTPU4,4,2009-10-22
1616,2009-11-05,891,130.41,S58HG,4,2009-11-05
1818,2009-11-18,891,51.33,X3SAP,4,2009-11-18
1961,2009-12-06,891,60.92,FRTLZ,4,2009-12-07
2122,2009-12-22,891,45.71,KRHW8,4,2009-12-22
2131,2009-12-23,891,63.31,UR5YA,4,2009-12-23
2432,2010-01-21,891,69.55,S5P2B,4,2010-01-21
2678,2010-02-04,891,132.97,M6ZDH,4,2010-02-05
280,2009-01-20,899,12.29,WNYJY,3,2009-01-20
2330,2010-01-12,937,41.35,PNQCR,11,2010-01-13
2403,2010-01-19,937,35.54,5WV2U,11,2010-01-20
2510,2010-01-27,937,48.65,RQ5QF,11,2010-01-27
3130,2010-03-03,937,56.33,VLU5R,11,2010-03-03
2203,2010-01-04,940,116.41,8FRRC,5,2010-01-08
560,2009-05-10,1023,28.82,QZGXS,5,2009-05-15
589,2009-05-15,1023,26.37,BT94E,5,2009-05-15
619,2009-05-21,1023,46,AUJMK,5,2009-05-22
1229,2009-09-11,1023,36.99,VGRTP,5,2009-09-11
1349,2009-10-01,1023,76.52,2RUUP,5,2009-10-02
2140,2009-12-27,1027,42.82,SBTD6,15,2009-12-28
342,2009-03-01,1409,25.93,7EMRK,3,2009-03-03
602,2009-05-19,1409,27.01,NQFQ2,4,2009-05-19
1496,2009-10-22,1409,53.66,6E8YW,7,2009-10-27
259,2009-01-06,1558,62.74,M5QH8,3,2009-01-06
284,2009-01-27,1558,71.88,ELLRK,3,2009-01-27
371,2009-03-17,1558,44.01,3EKEU,3,2009-03-17
394,2009-03-26,1558,37.78,23697,3,2009-03-26
600,2009-05-19,1558,46.98,QHYY3,3,2009-05-19
1591,2009-11-03,1558,138.56,ZDV3V,3,2009-11-03
1798,2009-11-17,1558,76.85,J4CHJ,3,2009-11-17
1869,2009-11-23,1558,236.45,JP9SK,3,2009-11-24
1903,2009-11-30,1558,102.9,CANUH,3,2009-12-01
1990,2009-12-08,1558,50.47,WGXUY,3,2009-12-08
1991,2009-12-08,1558,14.21,SF5DE,3,2009-12-08
2058,2009-12-15,1558,281.61,85Q2P,3,2009-12-15
2231,2010-01-05,1558,112.77,L3R8S,3,2010-01-05
307,2009-02-10,1588,18.32,FLUWJ,3,2009-02-10
269,2009-01-14,1625,33.22,5A8NQ,2,2009-01-14
545,2009-05-08,1625,48.49,ZM7RS,5,2009-05-08
624,2009-05-22,1625,36.4,ADX6Z,5,2009-05-22
989,2009-07-31,1625,50.07,E4YCW,5,2009-07-31
1099,2009-08-21,1625,27.39,FXP6M,5,2009-08-21
1303,2009-09-24,1625,35.56,4F8CJ,6,2009-09-24
1567,2009-10-30,1625,50.38,Q5HP4,5,2009-10-30
2567,2010-01-29,1625,33.81,RSAGK,5,2010-01-29
1067,2009-08-18,1701,57.33,6NT9F,5,2009-08-21
1214,2009-09-09,1701,50.49,CEQTU,5,2009-09-11
1307,2009-09-24,1701,91.76,RKCZ4,5,2009-09-25
1389,2009-10-08,1701,28.39,9QYWB,5,2009-10-09
1432,2009-10-15,1701,28.79,JM2EN,5,2009-10-16
1568,2009-10-30,1701,53.12,VF6B5,5,2009-10-30
1872,2009-11-24,1701,51.63,AHLRY,11,2009-11-25
2087,2009-12-18,1701,106.28,FFZJY,5,2009-12-18
2174,2009-12-30,1701,116.42,YKWFT,15,2010-01-04
1336,2009-09-30,1844,53.14,Y5YYS,5,2009-10-02
1514,2009-10-24,1925,87.58,6H6RE,6,2009-10-29
358,2009-03-10,2195,49.15,94DQP,3,2009-03-12
374,2009-03-17,2195,23.27,YBPWT,3,2009-03-19
641,2009-05-27,2195,53.77,JXVNF,3,2009-05-28
662,2009-06-01,2195,47.58,PE48Q,3,2009-06-02
2585,2010-01-31,2195,95.46,PMN5Q,3,2010-02-02
2872,2010-02-16,2195,64.84,ZSGQ6,9,2010-02-17
2259,2010-01-07,2235,25.72,W66VA,15,2010-01-11
2336,2010-01-13,2235,16.54,TBTJV,15,2010-01-18
2405,2010-01-19,2235,14.35,BD4LG,15,2010-01-25
2804,2010-02-12,2235,35.57,WPWWG,15,2010-02-15
297,2009-02-04,2583,21.37,ST4GF,2,2009-02-04
709,2009-06-11,2583,25.19,RXS2X,6,2009-06-11
757,2009-06-18,2583,15.41,4ZWBZ,6,2009-06-18
780,2009-06-25,2583,31.34,JEUNE,6,2009-06-25
825,2009-07-02,2583,21.86,33DKS,6,2009-07-02
937,2009-07-23,2583,17.14,B6G8Q,6,2009-07-23
1089,2009-08-20,2583,35.86,ERR8E,6,2009-08-20
1177,2009-09-03,2583,34.83,3QH8W,6,2009-09-03
1222,2009-09-10,2583,59.49,DFQ89,6,2009-09-10
1261,2009-09-17,2583,21.72,W4JLW,6,2009-09-17
1305,2009-09-24,2583,15.76,PT396,6,2009-09-24
1346,2009-10-01,2583,34.94,WEFFM,6,2009-10-01
1382,2009-10-08,2583,28.88,4KQHY,6,2009-10-08
1489,2009-10-22,2583,19.76,2QETX,6,2009-10-22
1706,2009-11-11,2583,29.8,AQCBP,11,2009-11-11
1975,2009-12-07,2583,57.62,RK3GG,18,2009-12-07
2145,2009-12-28,2583,69.13,X3FLH,18,2009-12-28
2770,2010-02-10,2583,33.4,C3BEH,11,2010-02-10
3048,2010-02-26,2583,30.45,ALDXX,5,2010-02-26
331,2009-02-21,2930,69.84,UXTWC,2,2009-02-23
322,2009-02-17,3181,18.35,836WT,3,2009-02-17
442,2009-04-16,3181,26.24,P2LP6,3,2009-04-16
472,2009-04-23,3181,14.37,NC74H,3,2009-04-23
256,2009-01-06,3190,35.48,PW8A3,2,2009-01-07
541,2009-05-07,3190,15.05,8KWY4,5,2009-05-08
542,2009-05-07,3190,2.99,3RKTD,5,2009-05-08
258,2009-01-06,3194,7.37,JTGT4,3,2009-01-08
741,2009-06-17,3194,20.62,KDC7K,4,2009-06-18
804,2009-06-30,3194,8.18,RJFH8,5,2009-07-10
2589,2010-01-31,3194,20.82,3G7QJ,15,2010-02-01
2228,2010-01-05,3197,73.8,K52DS,3,2010-01-05
2254,2010-01-07,3197,62.9,3J5UK,15,2010-01-08
2309,2010-01-11,3197,56.95,NZ357,3,2010-01-12
2439,2010-01-21,3197,91.1,PY3MT,15,2010-01-22
2550,2010-01-29,3197,74.07,CS5LJ,15,2010-01-29
266,2009-01-13,3355,3.68,ACX3T,3,2009-01-13
271,2009-01-14,3385,47.56,XLKGQ,3,2009-01-15
433,2009-04-14,3385,41.9,MCDV4,3,2009-04-14
1080,2009-08-19,3385,51.56,NXH8U,4,2009-08-20
273,2009-01-15,3394,13.64,DH9T9,3,2009-01-15
320,2009-02-17,3394,37.05,AJJ7X,3,2009-02-17
379,2009-03-18,3394,27.52,V96EQ,3,2009-03-19
438,2009-04-15,3394,53.96,FMAP6,3,2009-04-16
726,2009-06-15,3394,34.52,84KQ5,3,2009-06-16
1113,2009-08-25,3394,28.36,F728R,3,2009-08-25
288,2009-01-28,3616,8.06,WT9H3,3,2009-01-29
290,2009-01-29,3640,31.84,J6Z66,3,2009-01-29
932,2009-07-21,3640,44.27,CHELB,4,2009-07-23
1200,2009-09-07,3640,59.91,69RAP,4,2009-09-08
1250,2009-09-15,3640,43.96,ZSNJL,4,2009-09-17
1300,2009-09-24,3640,43.65,6SCG2,4,2009-09-24
1420,2009-10-14,3640,35.04,A9PY6,4,2009-10-15
1465,2009-10-20,3640,33.32,P8L7C,4,2009-10-20
1596,2009-11-03,3640,82.9,RXNJ5,4,2009-11-03
1650,2009-11-10,3640,40.39,TRZ97,4,2009-11-10
1874,2009-11-24,3640,42.4,DY74R,4,2009-11-24
1928,2009-12-03,3640,92.02,6Q4RJ,4,2009-12-03
2230,2010-01-05,3640,34.62,NJK4S,4,2010-01-06
2318,2010-01-12,3640,52.27,ZBBGF,4,2010-01-12
